"Program","Maps","CicsFiles","XctlTargets","Copybooks"
"COACTUPC","CCARD-NEXT-MAP|LIT-THISMAP","LIT-ACCTFILENAME|LIT-CUSTFILENAME","","COACTUP|COCOM01Y|COTTL01Y|CSDAT01Y|CSLKPCDY|CSMSG01Y|CSMSG02Y|CSSETATY|CSUSR01Y|CSUTLDPY|CVACT01Y|CVACT03Y|CVCRD01Y|CVCUS01Y|DFHAID|DFHBMSCA"
"COACTVWC","CCARD-NEXT-MAP|LIT-THISMAP","","","COACTVW|COCOM01Y|COTTL01Y|CSDAT01Y|CSMSG01Y|CSMSG02Y|CSUSR01Y|CVACT01Y|CVACT02Y|CVACT03Y|CVCRD01Y|CVCUS01Y|DFHAID|DFHBMSCA"
"COADM01C","","","CDEMO-TO-PROGRAM","COADM01|COADM02Y|COCOM01Y|COTTL01Y|CSDAT01Y|CSMSG01Y|CSUSR01Y|DFHAID|DFHBMSCA"
"COBIL00C","","","CDEMO-TO-PROGRAM","COBIL00|COCOM01Y|COTTL01Y|CSDAT01Y|CSMSG01Y|CVACT01Y|CVACT03Y|CVTRA05Y|DFHAID|DFHBMSCA"
"COCRDLIC","LIT-THISMAP","LIT-CARD-FILE","","COCOM01Y|COCRDLI|COTTL01Y|CSDAT01Y|CSMSG01Y|CSUSR01Y|CVACT02Y|CVCRD01Y|DFHAID|DFHBMSCA"
"COCRDSLC","CCARD-NEXT-MAP|LIT-THISMAP","","","COCOM01Y|COCRDSL|COTTL01Y|CSDAT01Y|CSMSG01Y|CSMSG02Y|CSUSR01Y|CVACT02Y|CVCRD01Y|CVCUS01Y|DFHAID|DFHBMSCA"
"COCRDUPC","CCARD-NEXT-MAP|LIT-THISMAP","LIT-CARDFILENAME","","COCOM01Y|COCRDUP|COTTL01Y|CSDAT01Y|CSMSG01Y|CSMSG02Y|CSUSR01Y|CVACT02Y|CVCRD01Y|CVCUS01Y|DFHAID|DFHBMSCA"
"COMEN01C","","","CDEMO-TO-PROGRAM","COCOM01Y|COMEN01|COMEN02Y|COTTL01Y|CSDAT01Y|CSMSG01Y|CSUSR01Y|DFHAID|DFHBMSCA"
"CORPT00C","","","CDEMO-TO-PROGRAM","COCOM01Y|CORPT00|COTTL01Y|CSDAT01Y|CSMSG01Y|CVTRA05Y|DFHAID|DFHBMSCA"
"COSGN00C","","","","COCOM01Y|COSGN00|COTTL01Y|CSDAT01Y|CSMSG01Y|CSUSR01Y|DFHAID|DFHBMSCA"
"COTRN00C","","","CDEMO-TO-PROGRAM","COCOM01Y|COTRN00|COTTL01Y|CSDAT01Y|CSMSG01Y|CVTRA05Y|DFHAID|DFHBMSCA"
"COTRN01C","","","CDEMO-TO-PROGRAM","COCOM01Y|COTRN01|COTTL01Y|CSDAT01Y|CSMSG01Y|CVTRA05Y|DFHAID|DFHBMSCA"
"COTRN02C","","","CDEMO-TO-PROGRAM","COCOM01Y|COTRN02|COTTL01Y|CSDAT01Y|CSMSG01Y|CVACT01Y|CVACT03Y|CVTRA05Y|DFHAID|DFHBMSCA"
"COUSR00C","","","CDEMO-TO-PROGRAM","COCOM01Y|COTTL01Y|COUSR00|CSDAT01Y|CSMSG01Y|CSUSR01Y|DFHAID|DFHBMSCA"
"COUSR01C","","","CDEMO-TO-PROGRAM","COCOM01Y|COTTL01Y|COUSR01|CSDAT01Y|CSMSG01Y|CSUSR01Y|DFHAID|DFHBMSCA"
"COUSR02C","","","CDEMO-TO-PROGRAM","COCOM01Y|COTTL01Y|COUSR02|CSDAT01Y|CSMSG01Y|CSUSR01Y|DFHAID|DFHBMSCA"
"COUSR03C","","","CDEMO-TO-PROGRAM","COCOM01Y|COTTL01Y|COUSR03|CSDAT01Y|CSMSG01Y|CSUSR01Y|DFHAID|DFHBMSCA"
