"Program","Var","Value"
"COADM01C","WS-USRSEC-FILE","USRSEC"
"COBIL00C","WS-ACCTDAT-FILE","ACCTDAT"
"COBIL00C","WS-CXACAIX-FILE","CXACAIX"
"COBIL00C","WS-TRANSACT-FILE","TRANSACT"
"COMEN01C","WS-USRSEC-FILE","USRSEC"
"CORPT00C","WS-TRANSACT-FILE","TRANSACT"
"COSGN00C","WS-USRSEC-FILE","USRSEC"
"COTRN00C","WS-TRANSACT-FILE","TRANSACT"
"COTRN01C","WS-TRANSACT-FILE","TRANSACT"
"COTRN02C","WS-ACCTDAT-FILE","ACCTDAT"
"COTRN02C","WS-CCXREF-FILE","CCXREF"
"COTRN02C","WS-CXACAIX-FILE","CXACAIX"
"COTRN02C","WS-TRANSACT-FILE","TRANSACT"
"COUSR00C","WS-USRSEC-FILE","USRSEC"
"COUSR01C","WS-USRSEC-FILE","USRSEC"
"COUSR02C","WS-USRSEC-FILE","USRSEC"
"COUSR03C","WS-USRSEC-FILE","USRSEC"
